contestant_name,profession,state,finish,normalized_finish,gender,age,num_season,birthdate,employment_category,region
Ethan Zohn,Professional Soccer Player,New York,1,0.9375,M,27,3,1973-11-12,Other,East Coast
Peter Harkey,Bowling Alley Owner,Massachusetts,16,0.0,M,45,4,1956-01-17,Other,East Coast
Patricia Jackson,Truck Assembler,South Carolina,15,0.0625,F,49,4,1952-04-08,Other,East Coast
Hunter Ellis,Ex-Navy Fighter Pilot,California,14,0.125,M,33,4,1968-07-05,Other,West
Sarah Jones,Account Manager,California,13,0.1875,F,24,4,1977-08-11,Other,West
Gabriel Cade,Bartender,California,12,0.25,M,23,4,1978-07-01,Hospitality,West
Gina Crews,Nature Guide,Florida,11,0.3125,F,28,4,1973-02-07,Other,East Coast
Rob Mariano,Construction Worker,Massachusetts,10,0.375,M,26,4,1975-12-25,Other,East Coast
John Carroll,Nurse,Nebraska,9,0.4375,M,36,4,1965-06-14,Healthcare,Midwest
Zoe Zanidakis,Fishing Boat Captain,Maine,8,0.5,F,35,4,1966-03-17,Other,East Coast
Tammy Leitner,Crime Reporter,Arizona,7,0.5625,F,29,4,1972-07-03,Other,West
Robert DeCanio,Limousine Driver,New York,6,0.625,M,38,4,1963-06-19,Other,East Coast
Sean Rector,Teacher,California,5,0.6875,M,30,4,1971-08-20,Education,West
Paschal English,Judge,Georgia,4,0.75,M,57,4,1945-03-05,Law,East Coast
Kathy Vavrick-O'Brien,Real Estate Agent,Vermont,3,0.8125,F,47,4,1955-01-06,Business,Unknown
Neleh Dennis,Student,Utah,2,0.875,F,21,4,1980-02-19,Student,West
Vecepia Towery,Office Manager,California,1,0.9375,F,36,4,1965-12-09,Other,West
John Raymond,Pastor,Louisiana,16,0.0,M,40,5,1962-02-21,Other,South
Tanya Vance,Social Worker,Tennessee,15,0.0625,F,27,5,1974-11-29,Other,South
Jed Hildebrand,Dental Student,Texas,14,0.125,M,25,5,1976-12-05,Student,South
Ghandia Johnson,Legal Secretary,Colorado,13,0.1875,F,33,5,1969-01-03,Other,West
Stephanie Dill,Firefighter,Arkansas,12,0.25,F,29,5,1972-11-15,Other,South
Robb Zbacnik,Bartender,Arizona,11,0.3125,M,23,5,1978-09-12,Hospitality,West
Shii Ann Huang,Executive Recruiter,New York,10,0.375,F,28,5,1974-01-24,Other,East Coast
Erin Collins,Real Estate Agent,Texas,9,0.4375,F,26,5,1976-01-07,Business,South
Ken Stafford,Police Officer,New York,8,0.5,M,30,5,1972-06-20,Other,East Coast
Penny Ramsey,Pharmaceutical Saleswoman,Texas,7,0.5625,F,27,5,1975-04-24,Business,South
Jake Billingsley,Land Broker,Texas,6,0.625,M,61,5,1941-08-21,Other,South
"Ted Rogers, Jr.",Software Developer,North Carolina,5,0.6875,M,37,5,1964-12-28,Business,East Coast
Helen Glover,Navy Swim Instructor,Rhode Island,4,0.75,F,47,5,1955-04-28,Other,East Coast
Jan Gentry,Teacher,Florida,3,0.8125,F,53,5,1948-10-31,Education,East Coast
Clay Jordan,Restaurant Owner,Louisiana,2,0.875,M,46,5,1955-12-30,Other,South
Brian Heidik,Used Car Salesman,California,1,0.9375,M,34,5,1968-03-09,Business,West
Ryan Aiken,Model,Maryland,16,0.0,M,23,6,1979-02-13,Other,East Coast
Janet Koth,Homemaker,Missouri,15,0.0625,F,47,6,1955-11-18,Other,Midwest
Daniel Lue,Tax Accountant,Texas,14,0.125,M,27,6,1975-11-29,Other,South
JoAnna Ward,Guidance Counselor,South Carolina,13,0.1875,F,31,6,1971-04-29,Other,East Coast
Jeanne Hebert,Marketing Director,Massachusetts,12,0.25,F,41,6,1962-01-06,Other,East Coast
Shawna Mitchell,Retail Saleswoman,California,11,0.3125,F,23,6,1979-07-28,Business,West
Roger Sexton,Construction Company Vice President,California,10,0.375,M,56,6,1946-09-26,Other,West
Dave Johnson,Rocket Scientist,California,9,0.4375,M,24,6,1979-01-16,Other,West
Deena Bennett,Deputy District Attorney,California,8,0.5,F,35,6,1967-02-12,Law,West
Alex Bell,Triathlon Coach,California,7,0.5625,M,32,6,1970-05-16,Education,West
Christy Smith,Children's Adventure Guide,Colorado,6,0.625,F,24,6,1978-09-13,Other,West
Heidi Strobel,Gym Teacher,Missouri,5,0.6875,F,24,6,1978-10-29,Education,Midwest
Butch Lockley,School Principal,Illinois,4,0.75,M,50,6,1952-08-28,Other,Midwest
Rob Cesternino,Computer Projects Coordinator,New York,3,0.8125,M,24,6,1978-10-20,Other,East Coast
Matthew von Ertfelda,Restaurant Designer,D.C.,2,0.875,M,33,6,1969-07-24,Other,Unknown
Jenna Morasca,Swimsuit Model,Pennsylvania,1,0.9375,F,21,6,1981-02-15,Other,East Coast
Nicole Delma,Massage Therapist,California,16,0.0,F,24,7,1978-09-19,Healthcare,West
Ryan Shoulders,Produce Clerk,Tennessee,15,0.0625,M,23,7,1980-03-28,Other,South
Michelle Tesauro,Student,New Jersey,14,0.125,F,22,7,1981-01-16,Student,East Coast
Trish Dunn,Sales Executive,Maryland,13,0.1875,F,42,7,1960-10-29,Business,East Coast
Shawn Cohen,Advertising Salesman,New York,12,0.25,M,28,7,1974-09-20,Business,East Coast
Osten Taylor,Equity Trade Manager,Massachusetts,11,0.3125,M,27,7,1975-12-10,Other,East Coast
Andrew Savage,Attorney,Illinois,10,0.375,M,40,7,1963-07-29,Law,Midwest
Ryan Opray,Electrician,California,9,0.4375,M,31,7,1972-08-06,Other,West
Rupert Boneham,Troubled Teens Mentor,Indiana,8,0.5,M,39,7,1964-01-27,Other,Midwest
Tijuana Bradley,Pharmaceutical Saleswoman,Missouri,7,0.5625,F,27,7,1976-07-23,Business,Midwest
Christa Hastie,Computer Programmer,California,6,0.625,F,24,7,1978-11-06,Other,West
Burton Roberts,Marketing Executive,California,5,0.6875,M,31,7,1972-04-10,Other,West
Darrah Johnson,Mortician,Mississippi,4,0.75,F,22,7,1981-05-19,Other,South
Jon Dalton,Art Consultant,Virginia,3,0.8125,M,29,7,1974-03-11,Other,East Coast
Lillian Morris,Scoutmaster,Ohio,2,0.875,F,51,7,1952-04-03,Other,Midwest
Sandra Diaz-Twine,Office Assistant,Washington,1,0.9375,F,29,7,1974-07-30,Other,West
Tina Wesson,Motivational Speaker,Tennessee,18,0.0,F,42,8,1960-12-26,Other,South
Rudy Boesch,Retired Navy Seal,Virginia,17,0.0555555555555555,M,75,8,1928-01-20,Retired,East Coast
Jenna Morasca,Swimsuit Model,Pennsylvania,16,0.1111111111111111,F,22,8,1981-02-15,Other,East Coast
Rob Cesternino,Computer Projects Coordinator,New York,15,0.1666666666666666,M,25,8,1978-10-20,Other,East Coast
Richard Hatch,Corporate Trainer,Rhode Island,14,0.2222222222222222,M,42,8,1961-04-08,Other,East Coast
Susan Hawk,Waitress/Bartender,Wisconsin,13,0.2777777777777778,F,42,8,1961-08-17,Hospitality,Midwest
Colby Donaldson,Actor,Texas,12,0.3333333333333333,M,29,8,1974-04-01,Arts,South
Ethan Zohn,Motivational Speaker,Massachusetts,11,0.3888888888888888,M,30,8,1973-11-12,Other,East Coast
Jerri Manthey,Actress,California,10,0.4444444444444444,F,33,8,1970-09-05,Other,West
Lex van den Berghe,Freelance Writer,California,9,0.5,M,40,8,1963-06-18,Other,West
Kathy Vavrick-O'Brien,Real Estate Agent,Vermont,8,0.5555555555555556,F,49,8,1955-01-06,Business,Unknown
Alicia Calaway,Health and Fitness Reporter,New York,7,0.6111111111111112,F,35,8,1968-05-01,Healthcare,East Coast
Shii Ann Huang,Executive Recruiter,New York,6,0.6666666666666667,F,30,8,1974-01-24,Other,East Coast
Tom Buchanan,Goat Farmer,Virginia,5,0.7222222222222222,M,48,8,1955-10-30,Agriculture,East Coast
Rupert Boneham,Troubled Teens Mentor,Indiana,4,0.7777777777777778,M,40,8,1964-01-27,Other,Midwest
Jenna Lewis,Actress,New Hampshire,3,0.8333333333333334,F,26,8,1977-07-16,Other,East Coast
Rob Mariano,Construction Worker,Massachusetts,2,0.8888888888888888,M,28,8,1975-12-25,Other,East Coast
Amber Mariano,Administrative Assistant,Pennsylvania,1,0.9444444444444444,F,25,8,1978-08-11,Other,East Coast
Brook Geraghty,Document Manager,California,18,0.0,M,33,9,1976-11-20,Other,West
Dolly Neely,Sheep Farmer,Pennsylvania,17,0.0555555555555555,F,25,9,1978-11-18,Agriculture,East Coast
John Palyok,Sales Manager,California,16,0.1111111111111111,M,31,9,1973-05-13,Business,West
Mia Galeotalanza,Bookkeeper,New Jersey,15,0.1666666666666666,F,30,9,1974-08-17,Other,East Coast
Brady Finta,FBI Agent,California,14,0.2222222222222222,M,33,9,1970-12-17,Other,West
Travis Sampson,Security Officer,Tennessee,13,0.2777777777777778,M,33,9,1971-02-19,Other,South
Lisa Keiffer,Real State Agent,Louisiana,12,0.3333333333333333,F,44,9,1960-05-03,Other,South
John Kenney,Mechanical Bull Operator/Model,California,11,0.3888888888888888,M,22,9,1981-09-26,Engineering/Technical,West
Rory Freeman,Housing Case Manager,Iowa,10,0.4444444444444444,M,35,9,1968-10-30,Other,Midwest
Lea Masters,Drill Sergeant,South Carolina,9,0.5,M,40,9,1964-03-28,Other,East Coast
Chad Crittenden,Teacher,California,8,0.5555555555555556,M,35,9,1969-08-08,Education,West
Leann Slaby,Equity Research Assistant,Wisconsin,7,0.6111111111111112,F,35,9,1969-07-08,Other,Midwest
Ami Cusack,Coffee Barista,Colorado,6,0.6666666666666667,F,31,9,1973-01-25,Other,West
Julie Berry,Youth Mentor,Maine,5,0.7222222222222222,F,23,9,1980-12-15,Other,East Coast
Eliza Orlins,Pre-Law Student,New York,4,0.7777777777777778,F,21,9,1982-12-25,Student,East Coast
Scout Cloud Lee,Rancher,Oklahoma,3,0.8333333333333334,F,59,9,1944-11-08,Agriculture,South
Twila Tanner,Highway Repair Worker,Missouri,2,0.8888888888888888,F,41,9,1962-10-12,Other,Midwest
Chris Daugherty,Highway Construction Worker,Ohio,1,0.9444444444444444,M,33,9,1970-08-29,Other,Midwest
Jonathan Libby,Sales & Marketing Associate,Texas,20,0.0,M,23,10,1981-09-05,Business,South
Wanda Shirk,English Teacher,Pennsylvania,19,0.05,F,55,10,1949-08-24,Education,East Coast
Jolanda Jones,Attorney,Texas,18,0.0999999999999999,F,39,10,1965-11-06,Law,South
Ashlee Ashby,Student,South Carolina,17,0.15,F,22,10,1982-05-02,Student,East Coast
Jeff Wilson,Personal Trainer,California,16,0.1999999999999999,M,21,10,1983-02-09,Other,West
Kim Mullen,Graduate Student,Ohio,15,0.25,F,25,10,1979-03-13,Student,Midwest
Willard Smith,Attorney,Washington,14,0.3,M,57,10,1947-11-30,Law,West
Angie Jakusz,Bartender,Louisiana,13,0.35,F,24,10,1980-03-27,Hospitality,South
James Miller,Steelworker,Alabama,12,0.4,M,33,10,1971-07-08,Other,South
Ibrehem Rahman,Model,Alabama,11,0.4499999999999999,M,27,10,1977-03-04,Other,South
Bobby Jon Drinkard,Waiter,Alabama,10,0.5,M,27,10,1977-05-10,Hospitality,South
Coby Archa,Hairdresser,Texas,9,0.55,M,32,10,1972-09-08,Other,South
Janu Tornell,Vegas Showgirl,Nevada,8,0.6,F,39,10,1965-05-09,Other,West
Stephenie LaGrossa,Pharmaceutical Sales Representative,Pennsylvania,7,0.65,F,25,10,1979-12-06,Business,East Coast
Gregg Carey,Business Consultant,Illinois,6,0.7,M,27,10,1977-01-09,Other,Midwest
Caryn Groedel,Civil Rights Attorney,Ohio,5,0.75,F,46,10,1958-08-13,Law,Midwest
Jennifer Lyon,Nanny,California,4,0.8,F,32,10,1972-02-27,Other,West
Ian Rosenberger,Dolphin Trainer,Florida,3,0.85,M,23,10,1981-08-24,Other,East Coast
Katie Gallagher,Advertising Executive,California,2,0.9,F,29,10,1975-05-28,Other,West
Tom Westman,Firefighter,New York,1,0.95,M,41,10,1964-01-04,Other,East Coast
Jim Lynch,Retired Fire Captain,Colorado,18,0.0,M,63,11,1942-01-07,Retired,West
Morgan McDevitt,Magician's Assistant,Illinois,17,0.0555555555555555,F,21,11,1983-11-24,Other,Midwest
Brianna Varela,Retail Salesperson,Washington,16,0.1111111111111111,F,21,11,1983-10-29,Business,West
Brooke Struck,Law Student,Oregon,15,0.1666666666666666,F,26,11,1979-07-30,Student,West
Blake Towsley,Real Estate Broker,Texas,14,0.2222222222222222,M,24,11,1981-05-05,Business,South
Margaret Bobonich,Nursing Practitioner,Ohio,13,0.2777777777777778,F,43,11,1962-06-05,Other,Midwest
Brian Corridan,Ivy League Student,New York,12,0.3333333333333333,M,22,11,1983-02-10,Student,East Coast
Amy O'Hara,Police Sergeant,Massachusetts,11,0.3888888888888888,F,39,11,1965-11-02,Other,East Coast
Brandon Bellinger,Farmer,Kansas,10,0.4444444444444444,M,22,11,1983-01-22,Agriculture,Midwest
Bobby Jon Drinkard,Waiter,Alabama,9,0.5,M,27,11,1977-05-10,Hospitality,South
Jamie Newton,Water Skiing Instructor,California,8,0.5555555555555556,M,24,11,1981-01-26,Other,West
Gary Hogeboom,Former NFL Quarterback,Michigan,7,0.6111111111111112,M,46,11,1958-08-21,Other,Midwest
Judd Sergeant,Hotel Doorman,New Jersey,6,0.6666666666666667,M,34,11,1970-09-13,Other,East Coast
Cindy Hall,Zookeeper,Florida,5,0.7222222222222222,F,31,11,1974-06-28,Other,East Coast
Lydia Morales,Fishmonnger,Washington,4,0.7777777777777778,F,42,11,1963-01-19,Other,West
Rafe Judkins,Wilderness Guide,Rhode Island,3,0.8333333333333334,M,22,11,1983-01-08,Other,East Coast
Stephenie LaGrossa,Pharmaceutical Sales Representative,Pennsylvania,2,0.8888888888888888,F,25,11,1979-12-06,Business,East Coast
Danni Boatwright,Sports Radio Host,Kansas,1,0.9444444444444444,F,30,11,1975-07-13,Other,Midwest
Tina Scheer,Lumberjill,Wisconsin,16,0.0,F,45,12,1960-11-17,Other,Midwest
Melinda Hyder,Singer/Entertainer,Tennessee,15,0.0625,F,32,12,1973-05-23,Other,South
Misty Giles,Missile Engineer,Texas,14,0.125,F,24,12,1981-02-25,Engineering/Technical,South
Ruth Marie Milliman,Property Developer,South Carolina,13,0.1875,F,48,12,1957-04-11,Business,East Coast
Bobby Mason,Attorney,California,12,0.25,M,32,12,1973-08-20,Law,West
Dan Barry,Astronaut,Massachusetts,11,0.3125,M,52,12,1953-12-30,Other,East Coast
Nick Stanbury,Financial Salesman,Arizona,10,0.375,M,25,12,1980-07-21,Business,West
Austin Carty,Writer,North Carolina,9,0.4375,M,24,12,1981-04-29,Other,East Coast
Sally Schumann,Social Worker,Illinois,8,0.5,F,27,12,1978-12-10,Other,Midwest
Bruce Kanegai,Art Teacher,California,7,0.5625,M,58,12,1947-12-17,Education,West
Courtney Marit,Fire Dancer,California,6,0.625,F,31,12,1974-05-24,Other,West
Shane Powers,Marketing Executive,California,5,0.6875,M,35,12,1970-11-28,Other,West
Cirie Fields,Nurse,South Carolina,4,0.75,F,34,12,1970-07-18,Healthcare,East Coast
Terry Deitz,Pilot,Connecticut,3,0.8125,M,46,12,1959-10-10,Other,East Coast
Danielle DiLorenzo,Medical Sales Representative,Florida,2,0.875,F,24,12,1981-06-03,Business,East Coast
Aras Baskauskas,Yoga Instructor,California,1,0.9375,M,24,12,1981-09-26,Other,West
Sekou Bunch,Jazz Musician,California,20,0.0,M,46,13,1960-09-09,Arts,West
Billy Garcia,Heavy Metal Musician,New York,19,0.05,M,36,13,1970-04-22,Arts,East Coast
Cecilia Mansilla,Risk Consultant,California,18,0.0999999999999999,F,29,13,1977-01-13,Other,West
J.P. Calderon,Profession Volleyball Player,California,17,0.15,M,30,13,1975-09-05,Other,West
Stephannie Favor,Nursing Student,South Carolina,16,0.1999999999999999,F,35,13,1970-07-12,Student,East Coast
Cao Boi Bui,Nail Salon Manager,Virginia,15,0.25,M,42,13,1964-04-10,Other,East Coast
Cristina Coria,Police Officer,California,14,0.3,F,35,13,1971-04-18,Other,West
Jessica Smith,Roller Girl,California,13,0.35,F,27,13,1979-01-22,Other,West
Brad Virata,Fashion Director,California,12,0.4,M,27,13,1976-11-23,Other,West
Rebecca Borman,Makeup Artist,New York,11,0.4499999999999999,F,34,13,1971-08-31,Arts,East Coast
Jenny Guzon-Bae,Real Estate Agent,Illinois,10,0.5,F,36,13,1970-05-08,Business,Midwest
Nate Gonzalez,Shoe Salesman,California,9,0.55,M,26,13,1980-07-26,Business,West
Candice Cody,Pre-Med Student,North Carolina,8,0.6,F,23,13,1982-11-12,Student,East Coast
Jonathan Penner,Writer,California,7,0.65,M,44,13,1962-03-05,Other,West
Parvati Shallow,Boxer,California,6,0.7,F,24,13,1982-09-21,Other,West
Adam Gentry,Copier Sales Executive,California,5,0.75,M,28,13,1978-08-21,Business,West
Sundra Oakley,Actress,California,4,0.8,F,31,13,1975-01-02,Other,West
Becky Lee,Attorney,D.C.,3,0.85,F,28,13,1977-09-11,Law,Unknown
Ozzy Lusth,Waiter,California,2,0.9,M,25,13,1981-08-23,Hospitality,West
Yul Kwon,Management Consultant,California,1,0.95,M,31,13,1975-02-14,Other,West
Jessica deBen,Fashion Stylist,California,19,0.0,F,27,14,1979-04-25,Other,West
Erica Durousseau,Non-Profit Fundraiser,Louisiana,18,0.0526315789473684,F,27,14,1979-12-11,Other,South
Sylvia Kwan,Architect,California,17,0.1052631578947368,F,52,14,1954-08-18,Other,West
Gary Stritesky,School Bus Driver,Minnesota,16,0.1578947368421053,M,55,14,1951-09-16,Other,Midwest
Liliana Gomez,Loan Officer,California,15,0.2105263157894736,F,25,14,1981-04-05,Other,West
Rita Verreos,Single Mother,Texas,14,0.2631578947368421,F,38,14,1968-07-19,Other,South
Anthony Robinson,Expert Witness Locator,California,13,0.3157894736842105,M,32,14,1974-06-25,Other,West
Rocky Reid,Bartender,California,12,0.368421052631579,M,28,14,1978-09-11,Hospitality,West
Lisi Linares,Customer Service Representative,California,11,0.4210526315789473,F,36,14,1970-06-09,Other,West
Michelle Yi,Student,Ohio,10,0.4736842105263158,F,23,14,1983-12-02,Student,Midwest
Edgardo Rivera,Advertising Executive,Florida,9,0.5263157894736843,M,28,14,1978-10-05,Other,East Coast
Mookie Lee,Business Consultant,Illinois,8,0.5789473684210527,M,25,14,1981-11-10,Other,Midwest
Alex Angarita,Attorney,California,7,0.631578947368421,M,28,14,1978-04-20,Law,West
Stacy Kimball,Web Producer,Colorado,6,0.6842105263157895,F,27,14,1979-10-01,Other,West
Boo Bernis,Construction Worker,Louisiana,5,0.736842105263158,M,34,14,1972-06-21,Other,South
Yau-Man Chan,Internet Technology Director,California,4,0.7894736842105263,M,54,14,1952-08-26,Other,West
Cassandra Franklin,College Administrator,California,2,0.8947368421052632,F,42,14,1964-04-19,Other,West
Dreamz Herd,Cheerleading Coach,North Carolina,2,0.8947368421052632,M,25,14,1981-12-15,Education,East Coast
Earl Cole,Advertising Executive,California,1,0.9473684210526316,M,35,14,1971-04-09,Other,West
Chicken Morris,Chicken Farmer,Virginia,16,0.0,M,47,15,1959-09-02,Agriculture,East Coast
Ashley Massaro,Professional Wrestler,New York,15,0.0625,F,28,15,1979-05-26,Other,East Coast
Leslie Nease,Christian Radio Host,South Carolina,14,0.125,F,38,15,1969-03-25,Other,East Coast
Dave Cruser,Former Model,California,13,0.1875,M,37,15,1969-10-26,Other,West
Aaron Reisberger,Surfing Instructor,California,12,0.25,M,32,15,1975-04-25,Other,West
Sherea Lloyd,Elementary Teacher,Georgia,11,0.3125,F,26,15,1981-07-31,Education,East Coast
Jaime Dugan,Student,South Carolina,10,0.375,F,22,15,1985-06-30,Student,East Coast
Jean-Robert Bellande,Profession Poker Player,Nevada,9,0.4375,M,36,15,1970-09-17,Other,West
Frosti Zernow,Student/Athlete,Illinois,8,0.5,M,20,15,1987-02-15,Student,Midwest
James Clement,Gravedigger,Louisiana,7,0.5625,M,30,15,1977-03-09,Other,South
Erik Huffman,Musician,Tennessee,6,0.625,M,26,15,1981-01-31,Arts,South
Peih-Gee Law,Jeweler,California,5,0.6875,F,29,15,1978-04-07,Other,West
Denise Martin,School Lunch Lady,Massachusetts,4,0.75,F,40,15,1967-05-05,Other,East Coast
Amanda Kimmel,Hiking Guide,Montana,3,0.8125,F,23,15,1984-08-03,Other,West
Courtney Yates,Waitress,New York,2,0.875,F,26,15,1981-03-26,Other,East Coast
Todd Herzog,Flight Attendant,Utah,1,0.9375,M,22,15,1985-01-29,Other,West
Jon Dalton,Art Consultant,Virginia,20,0.0,M,33,16,1974-03-11,Other,East Coast
Mary Sartain,Real Estate Manager,California,19,0.05,F,29,16,1978-11-11,Business,West
Yau-Man Chan,Internet Technology Director,California,18,0.0999999999999999,M,55,16,1952-08-26,Other,West
Mikey Bortone,Aspiring Writer,California,17,0.15,M,34,16,1973-12-29,Other,West
Joel Anderson,Firefighter,Arizona,16,0.1999999999999999,M,32,16,1975-06-01,Other,West
Jonathan Penner,Writer,California,15,0.25,M,45,16,1962-03-05,Other,West
Chet Welch,Pageant Coach,Pennsylvania,14,0.3,M,48,16,1959-10-22,Education,East Coast
Kathy Sleckman,Golf Course Vendor,Illinois,13,0.35,F,45,16,1962-08-14,Other,Midwest
Tracy Hughes-Wolf,Residential Builder,Virginia,12,0.4,F,43,16,1964-07-09,Other,East Coast
Ami Cusack,Nanny,Colorado,11,0.4499999999999999,F,34,16,1973-01-25,Other,West
Eliza Orlins,Law School Student,New York,10,0.5,F,25,16,1982-12-25,Student,East Coast
Ozzy Lusth,Photographer,California,9,0.55,M,26,16,1981-08-23,Other,West
Jason Siska,Gymnastics Coach,Illinois,8,0.6,M,22,16,1985-03-04,Education,Midwest
James Clement,Gravedigger,Louisiana,7,0.65,M,30,16,1977-03-09,Other,South
Alexis Jones,Motivational Speaker,California,6,0.7,F,24,16,1983-07-06,Other,West
Erik Reichenbach,Ice Cream Scooper,Michigan,5,0.75,M,22,16,1985-11-27,Other,Midwest
Natalie Bolton,Personal Trainer,California,4,0.8,F,32,16,1975-12-31,Other,West
Cirie Fields,Nurse,Connecticut,3,0.85,F,37,16,1970-07-18,Healthcare,East Coast
Amanda Kimmel,Aspiring Designer,California,2,0.9,F,23,16,1984-08-03,Other,West
Parvati Shallow,Charity Organizer,California,1,0.95,F,25,16,1982-09-21,Other,West
Michelle Chase,Music Producer,California,18,0.0,F,24,17,1984-03-07,Other,West
Gillian Larson,Retired Nurse,California,17,0.0555555555555555,F,61,17,1947-02-24,Healthcare,West
Paloma Soto-Castillo,Student,California,16,0.1111111111111111,F,24,17,1984-08-24,Student,West
Jacquie Berg,Medical Saleswoman,California,15,0.1666666666666666,F,25,17,1982-09-10,Business,West
GC Brown,Maintenance Man,Oregon,14,0.2222222222222222,M,26,17,1982-07-13,Other,West
Kelly Czarnecki,Retail Saleswoman,Illinois,13,0.2777777777777778,F,22,17,1986-04-04,Business,Midwest
Ace Gordon,Jewelry Salesman/Photographer,Florida,12,0.3333333333333333,M,27,17,1980-09-03,Business,East Coast
Dan Kay,Attorney,Massachusetts,11,0.3888888888888888,M,32,17,1976-06-30,Law,East Coast
Marcus Lehman,Doctor,Georgia,10,0.4444444444444444,M,28,17,1979-10-03,Healthcare,East Coast
Charlie Herschel,Attorney,New York,9,0.5,M,29,17,1979-05-12,Law,East Coast
